coral,genotype,nubbin,Tank,Sym Status,Treatment,Tank,PAM Day 2 A,PAM Day 2 B,PAM Day 2 C,PAM Day 2 Average,PAM Day 5 A,PAM Day 5 B,PAM Day 5 C,PAM Day 5 Average,PAM Day 8 A,PAM Day 8 B,PAM Day 8 C,PAM Day 8 Average,PAM Day 11 A,PAM Day 11 B,PAM Day 11 C,PAM Day 14 A,PAM Day 14 B,PAM Day 14 C
AC6,C,6,heat_3,W,Heat,3,0.35,0.291,0.392,0.344333333,0.434,0.457,0.471,0.454,0.488,0.493,0.398,0.459666667,NA,NA,NA,NA,NA,NA
AE3,E,3,heat_3,W,Heat,3,0.472,0.504,0.491,0.489,0.578,0.447,0.566,0.530333333,0.452,0.523,0.46,0.478333333,NA,NA,NA,NA,NA,NA
AH1,H,1,heat_3,W,Heat,3,0.44,0.413,0.438,0.430333333,0.534,0.463,0.5,0.499,0.448,0.455,0.413,0.438666667,NA,NA,NA,NA,NA,NA
AJ6,J,6,cold_1,B,Cold,1,0.316,0.394,0.398,0.369333333,0.453,0.446,0.436,0.445,0.346,0.279,0.316,0.313666667,NA,NA,NA,NA,NA,NA
AF5,F,5,cold_1,B,Cold,1,0.367,0.391,0.4,0.386,0.446,0.399,0.456,0.433666667,0.389,0.35,0.309,0.349333333,NA,NA,NA,NA,NA,NA
AB2,B,2,cold_1,B,Cold,1,0.365,0.401,0.388,0.384666667,0.478,0.431,0.529,0.479333333,0.302,0.314,0.408,0.341333333,NA,NA,NA,NA,NA,NA
AH3,H,3,cold_1,W,Cold,1,0.455,0.448,0.466,0.456333333,0.24,0.252,0.283,0.258333333,0.367,0.358,0.399,0.374666667,NA,NA,NA,NA,NA,NA
AA3,A,3,cold_1,W,Cold,1,0.326,0.403,0.389,0.372666667,0.58,0.663,0.59,0.611,0.437,0.48,0.495,0.470666667,NA,NA,NA,NA,NA,NA
AD6,D,6,cold_1,W,Cold,1,0.38,0.309,0.507,0.398666667,0.417,0.449,0.323,0.396333333,0.384,0.318,0.292,0.331333333,NA,NA,NA,NA,NA,NA
AE1,E,1,cold_1,W,Cold,1,0.485,0.415,0.449,0.449666667,0.448,440,0.42,146.956,0.291,0.242,0.268,0.267,NA,NA,NA,NA,NA,NA
AM1,M,1,cold_1,B,Cold,1,0.434,0.534,0.508,0.492,0.454,0.397,0.372,0.407666667,0.289,0.305,0.256,0.283333333,NA,NA,NA,NA,NA,NA
