"Culture_Control.1"	"Culture_Control.1.1"	"Culture_Control.2"	"Culture_Control.2.1"	"Culture_Control.3"	"Culture_Control.3.1"	"Culture_Control.4"	"Culture_Control.4.1"	"Culture_Cool.1"	"Culture_Cool.2"	"Culture_Cool.3"	"Culture_Cool.4"	"Culture_Heat.1"	"Culture_Heat.1.1"	"Culture_Heat.2"	"Culture_Heat.2.1"	"Culture_Heat.3"	"Culture_Heat.3.1"	"Culture_Heat.4"	"Culture_Heat.4.1"	"OC4_F_B.host"	"OC4_F_B.sym"	"OC5_H_B.host"	"OC5_H_B.sym"	"OC9_C_B.host"	"OC9_C_B.sym"	"OD4_C_B.host"	"OD4_C_B.sym"	"OD5_F_B.host"	"OD5_F_B.sym"	"OD6_H_B.host"	"OD6_H_B.sym"	"OE10_F_W.host"	"OE11_C_W.host"	"OE3_H_W.host"	"OF7_C_B.host"	"OF7_C_B.sym"	"OF8_F_B.host"	"OF8_F_B.sym"	"OF9_H_B.host"	"OF9_H_B.sym"	"OH1_C_W.host"	"OH11_F_W.host"	"OH15_H_W.host"	"OI1_C_B.host"	"OI1_C_B.sym"	"OI2_F_B.host"	"OI2_F_B.sym"	"OI3_H_B.host"	"OI3_H_B.sym"	"OJ13_C_B.host"	"OJ13_C_B.sym"	"OJ14_F_B.host"	"OJ14_F_B.sym"	"OJ15_H_B.host"	"OJ15_H_B.sym"	"OL6_C_B.host"	"OL6_C_B.sym"	"OL7_F_B.host"	"OL7_F_B.sym"	"OL8_H_B.host"	"OL8_H_B.sym"	"ON4_C_W.host"	"ON5_F_W.host"	"ON6_H_W.host"	"OQ1_C_W.host"	"OQ11_H_W.host"	"OQ4_F_W.host"	"OR7_C_B.host"	"OR7_C_B.sym"	"OR8_F_B.host"	"OR8_F_B.sym"	"OR9_H_B.host"	"OR9_H_B.sym"
"ORTHOMCL1140"	151	147	80	167	71	144	73	114	62	110	167	150	141	45	153	104	65	146	114	138	4	0	2	3	3	1	1	1	9	5	2	1	0	4	3	4	5	3	2	11	4	2	3	2	11	2	4	2	3	1	9	6	8	6	1	7	4	5	4	4	1	2	5	18	2	5	8	7	2	2	3	7	1	0
"ORTHOMCL1113.1"	297	289	202	318	172	233	130	188	152	203	296	356	454	314	431	407	241	489	253	486	1014	4	855	8	1073	4	859	5	1182	10	954	5	1280	581	1173	1182	4	1206	1	1798	6	1083	800	1593	1777	11	1166	11	670	6	1908	14	1718	9	1136	15	741	9	873	5	782	6	1674	3563	909	1006	1552	2400	1030	8	1528	5	662	4
"ORTHOMCL2461.1"	979	1069	643	1000	415	724	402	601	256	459	660	900	734	935	750	721	378	837	391	866	15	9	19	17	42	10	39	7	24	21	30	8	10	31	40	9	10	7	8	46	19	43	5	86	93	15	15	12	40	5	79	19	47	19	14	17	31	17	21	9	35	6	46	66	25	29	56	34	39	6	23	14	12	3
"ORTHOMCL5380"	190	173	82	220	109	170	81	161	87	150	249	215	191	79	207	139	84	191	123	192	3	0	2	6	11	1	9	1	10	3	20	2	4	19	19	5	2	2	1	23	4	14	1	20	36	5	9	2	18	3	19	5	11	2	10	7	19	3	9	2	18	2	23	18	9	11	24	10	18	1	7	3	3	0
"ORTHOMCL3054.1"	190	220	109	200	82	141	87	127	77	135	240	204	186	176	147	153	102	194	148	173	9	5	4	9	6	2	6	6	27	8	5	1	13	8	12	5	7	15	3	10	4	4	5	6	19	11	25	12	3	3	15	2	19	5	4	7	0	5	15	4	2	2	7	34	7	7	11	32	5	5	20	8	3	0
"ORTHOMCL5282"	112	92	66	106	59	102	66	73	70	93	167	162	95	85	103	111	66	114	60	115	151	4	42	8	62	1	69	0	333	2	73	1	167	88	91	30	2	121	1	78	5	77	95	128	276	6	274	0	60	0	215	1	414	1	45	4	75	2	190	2	75	1	125	674	27	57	72	511	90	2	250	1	23	0
"ORTHOMCL8692"	159	147	96	136	83	117	56	86	64	124	172	184	163	163	168	139	90	164	97	174	19	4	5	7	13	2	12	5	37	3	1	8	19	10	15	7	3	13	0	7	3	16	21	19	25	4	45	6	9	2	22	6	42	8	4	7	8	5	14	9	9	4	9	77	10	6	14	34	10	3	23	6	3	0
"ORTHOMCL2424"	202	209	149	198	79	153	77	124	109	165	205	275	135	177	149	128	56	150	77	151	18	3	10	1	12	2	21	2	94	4	16	1	35	16	21	8	5	34	1	22	0	21	21	30	51	5	64	7	19	0	49	2	75	2	12	1	19	7	33	3	13	3	36	117	9	14	17	47	27	1	29	2	11	1
"ORTHOMCL8891"	319	307	198	274	126	229	146	144	132	190	209	292	337	311	353	305	179	284	210	320	14	1	3	3	4	3	3	3	10	3	6	3	3	1	8	2	2	2	0	9	8	2	5	5	9	5	6	10	1	2	8	5	10	5	2	9	8	10	11	4	3	3	3	29	1	8	6	28	8	3	15	6	7	3
"ORTHOMCL8888"	261	240	142	230	105	177	129	128	142	160	256	198	204	170	222	192	121	225	119	212	104	1	15	8	46	4	35	1	216	2	22	2	164	36	26	22	5	135	4	51	2	37	99	57	111	7	253	7	28	3	74	4	254	4	15	4	46	1	187	3	19	1	50	587	15	29	31	373	51	4	134	3	7	0
