gene,mutated_p_updown
evm.TU.chromosome_5.1953,34.63237494
evm.TU.chromosome_4.1469,-34.530269
evm.TU.chromosome_5.1083,-34.52510093
evm.TU.chromosome_13.2753,34.46416621
evm.TU.chromosome_14.1133,-34.45121526
evm.TU.chromosome_3.1720,34.44838385
evm.TU.chromosome_13.2584,34.42832808
evm.TU.chromosome_9.2171,-34.41323924
evm.TU.chromosome_14.4719,-34.35814797
evm.TU.chromosome_4.1897,34.14041938
evm.TU.chromosome_14.7054,-34.12026337
evm.TU.chromosome_7.2650,34.11924474
evm.TU.chromosome_14.12,34.09987056
evm.TU.chromosome_6.1025,34.06340002
evm.TU.chromosome_5.999,-34.00595306
evm.TU.chromosome_12.3009,-33.98102083
evm.TU.chromosome_10.2437,33.95794926
evm.TU.chromosome_14.262,33.9515212
evm.TU.chromosome_13.2158,33.93268364
evm.TU.chromosome_13.1389,-33.91990439
evm.TU.chromosome_5.725,33.88925443
evm.TU.chromosome_10.2650,-33.87536864
evm.TU.chromosome_12.3132,33.85810062
evm.TU.chromosome_6.560,-33.85802536
evm.TU.chromosome_13.3874,-33.77142968
evm.TU.chromosome_9.2453,-33.76196652
evm.TU.chromosome_7.177,33.74293484
evm.TU.chromosome_14.5920,-33.73249262
evm.TU.chromosome_1.1866,33.7188869
evm.TU.chromosome_7.2808,33.70641645
evm.TU.chromosome_14.6192,33.68464548
evm.TU.chromosome_14.7318,-33.66679361
evm.TU.chromosome_2.95,-33.64751733
evm.TU.chromosome_10.2403,33.60817708
evm.TU.chromosome_14.951,-33.55125445
evm.TU.chromosome_4.862,-33.46393193
evm.TU.chromosome_14.633,-33.40163848
evm.TU.chromosome_2.637,33.37729632
evm.TU.chromosome_2.291,33.32048759
evm.TU.chromosome_14.55,-33.255093
evm.TU.chromosome_9.2899,-33.23364642
evm.TU.chromosome_12.2304,33.22317504
evm.TU.chromosome_9.1670,33.15874098
evm.TU.chromosome_13.1541,33.08925087
evm.TU.chromosome_9.2218,-33.06617365
evm.TU.chromosome_12.1199,33.04731466
evm.TU.chromosome_3.1683,33.00592797
evm.TU.chromosome_6.856,-32.96228838
evm.TU.chromosome_11.224,-32.94336213
evm.TU.chromosome_7.1233,-32.90694272
evm.TU.chromosome_11.1733,32.89122256
evm.TU.chromosome_12.1871,-32.86272513
evm.TU.chromosome_9.22,32.85809471
evm.TU.chromosome_2.486,-32.76987477
evm.TU.chromosome_12.1432,32.66507199
evm.TU.chromosome_10.2605,32.64361343
evm.TU.chromosome_3.500,-32.64076816
evm.TU.chromosome_4.166,-32.64042116
evm.TU.chromosome_10.2794,32.63284454
evm.TU.chromosome_2.235,32.57692079
evm.TU.chromosome_5.1489,-32.56671173
evm.TU.chromosome_8.1355,32.54594277
evm.TU.chromosome_6.2650,-32.51238404
evm.TU.chromosome_6.707,-32.50917725
evm.TU.chromosome_4.287,32.49281256
evm.TU.chromosome_8.1067,32.46522786
evm.TU.chromosome_10.231,32.45603425
evm.TU.chromosome_13.3464,32.44421388
evm.TU.chromosome_1.476,-32.44226247
evm.TU.chromosome_7.2826,32.43683932
evm.TU.chromosome_11.528,32.37161247
evm.TU.chromosome_5.2333,32.3654837
evm.TU.chromosome_13.3443,32.35002933
evm.TU.chromosome_6.2585,-32.3359386
evm.TU.chromosome_10.3050,32.33185591
evm.TU.chromosome_7.295,32.29104319
evm.TU.chromosome_7.1357,32.27426492
evm.TU.chromosome_12.3002,32.17607118
evm.TU.chromosome_5.944,-32.15867453
evm.TU.chromosome_7.952,-32.11603091
evm.TU.chromosome_14.5673,31.98695989
evm.TU.chromosome_13.1525,31.97251161
evm.TU.chromosome_9.1263,31.96893164
evm.TU.chromosome_8.1124,31.91518729
evm.TU.chromosome_14.6567,31.81532394
evm.TU.chromosome_3.1949,31.81637756
evm.TU.chromosome_1.1761,31.7671732
evm.TU.chromosome_2.1095,31.74643632
evm.TU.chromosome_12.1798,31.74437031
evm.TU.chromosome_13.74,31.67080408
evm.TU.chromosome_3.494,31.58243337
evm.TU.chromosome_8.1565,-31.55904541
evm.TU.chromosome_13.3451,-31.53229556
evm.TU.chromosome_13.2014,-31.50068849
evm.TU.chromosome_10.577,-31.49572667
evm.TU.chromosome_8.2353,31.47516891
evm.TU.chromosome_9.168,31.45306998
evm.TU.chromosome_13.729,31.43019891
evm.TU.chromosome_8.1939,-31.40437448
evm.TU.chromosome_4.1379,-31.3600439
evm.TU.chromosome_12.3308_evm.TU.chromosome_12.3309,-31.34845984
evm.TU.chromosome_6.2147,-31.2909121
evm.TU.chromosome_12.2302,31.25201108
evm.TU.chromosome_8.2489,31.2426983
evm.TU.chromosome_12.1807,31.23578293
evm.TU.chromosome_4.1341,-31.16684407
evm.TU.chromosome_8.1965,31.1649073
evm.TU.chromosome_3.1492,31.14229817
evm.TU.chromosome_7.1671,-31.07735522
evm.TU.chromosome_13.1719,-31.06932147
evm.TU.chromosome_7.2045,-31.0548528
evm.TU.chromosome_7.244,31.05231693
evm.TU.chromosome_1.944,30.95144641
evm.TU.chromosome_7.253,-30.91158925
evm.TU.chromosome_13.4191,-30.89582935
evm.TU.chromosome_10.3071,30.8886414
evm.TU.chromosome_3.1930,30.87923027
evm.TU.chromosome_8.189,30.85772397
evm.TU.chromosome_10.1471,-30.82283664
evm.TU.chromosome_13.3532,30.8240526
evm.TU.chromosome_2.333,-30.81209833
evm.TU.chromosome_1.357,30.71356246
