sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
134753	FD5	FD5_R1_NoIll_No4N_ITS.fastq.gz	5ee6bea04ec486ab9597e912bb7c6bf5a248c24ed4bfd9250b0ffb6d3dbec616	FD5_R2_NoIll_No4N_ITS.fastq.gz	34cbfe549e9ca0008a79e9f539de640393be5d25a86a2a1b39ebd50f3e0c5b31	1.4953548866592346	1.0066889632107023	0.03939056112969157	1.0066889632107023	0.03939056112969157	0.0	0.0	0.0	0.0	1.0	0.002787068004459309	0	0.17261241174284653	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134757	FI2	FI2_R1_NoIll_No4N_ITS.fastq.gz	40011965a016d2152770d360f73199f25ae9f037d8ec241c6cffaabd597f67e9	FI2_R2_NoIll_No4N_ITS.fastq.gz	158296cf619e9d67c6bd901a0f2b378db235fb51a90b2bb6cefb459b0cc1c79b	1.2101625907374174	1.0133929767230065	0.019634103875927462	1.0133929767230065	0.019634103875927462	0.0	0.0	0.0	0.0	1.0	0.0003750033482441807	0	0.17373369405083972	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134771	HJ15	HJ15_R1_NoIll_No4N_ITS.fastq.gz	498ff6001fa50878669e7ccb7a66938430d953c487a523a952bc9887c23e055d	HJ15_R2_NoIll_No4N_ITS.fastq.gz	5777f041b03ebde84f8679effd0633a9a6c3c320a0378749ab9438f26cc6aa95	1.3936077602288273	1.0159184181072005	0.0346971769680388	1.0159184181072005	0.0346971769680388	0.0	0.0	0.0	0.0	1.0	0.0017410769804750653	0	0.17398333540604405	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134759	FL7	FL7_R1_NoIll_No4N_ITS.fastq.gz	5343d19fab6f11895f1cf406259bf3b21396e415c65acf0a9cb1d9beac9ec0ea	FL7_R2_NoIll_No4N_ITS.fastq.gz	8acb3fff311145e619cfc60c2216ae655a55970b6d3b7dd5c1d11d4fc0ba17f7	1.2655883253393203	1.016787427288499	0.02459434636187366	1.016787427288499	0.02459434636187366	0.0	0.0	0.0	0.0	1.0	0.0007143586080212267	0	0.1760383712623737	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134758	FJ14	FJ14_R1_NoIll_No4N_ITS.fastq.gz	588cffdf7f2727c47ff02a11c398fb95a1ff60774bc4eafc8b9dfb13773e6bd6	FJ14_R2_NoIll_No4N_ITS.fastq.gz	0e5200041600d0aaf03cd3951be0631b146b139d966752e352a95c07f42cf031	1.3830667920978363	1.0161806208842898	0.043650047036688615	1.0161806208842898	0.043650047036688615	0.0	0.0	0.0	0.0	1.0	0.002634054562558796	0	0.1781749764816557	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134742	CH1	CH1_R1_NoIll_No4N_ITS.fastq.gz	f5b8cea8b4547a328cec30e7aa2abafab2fa6b3aed378362e0c77a6bd605e583	CH1_R2_NoIll_No4N_ITS.fastq.gz	7e24e6613ed4e45a20639ffc355aba4b53e40da8f8c3cbf99ca4c8fe1a27c83b	1.2374681100461973	1.0137212990415776	0.025236158036268358	1.0137212990415776	0.025236158036268358	0.0	0.0	0.0	0.0	1.0	0.0009653175205129973	0	0.17913535130662622	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134775	H05	HO5_R1_NoIll_No4N_ITS.fastq.gz	ed1afcdf354301328c690e5158f05e7f29f3772a48a8b51c84e8756fe255601b	HO5_R2_NoIll_No4N_ITS.fastq.gz	66aac29b112c4083d51dbee9f572dafb83e33a95ba315ee4459d75459857fa61	1.7650429799426934	1.0078796561604584	0.04656160458452722	1.0078796561604584	0.04656160458452722	0.0	0.0	0.0	0.0	1.0	0.010744985673352435	0	0.19054441260744986	0	0	0	0	0	0	0	NoData	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134761	FN5	FN5_R1_NoIll_No4N_ITS.fastq.gz	5ba45f32406b9603a1dbd827fd22437a41d98033ac2a9519aac64ccddb493edf	FN5_R2_NoIll_No4N_ITS.fastq.gz	3b94af65426028945ef9f7083af73360a28529866e7c7c5da6e333347037889d	17.03660886319846	1.0	0.02697495183044316	1.0	0.02697495183044316	0.0	0.0	0.0	0.0	1.0	0.005780346820809248	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134748	CO1	CO1_R1_NoIll_No4N_ITS.fastq.gz	090f759a7c7b03016553754a38e6ebf95303b0a4f1d5b4265927930fad6ff34c	CO1_R2_NoIll_No4N_ITS.fastq.gz	93b8c7ccb10382a3a45b747f0830d7473f668b7be49c3c9eff608c92c541af8c	7.158881941890401	1.0088267745494668	0.041191614564178004	1.0088267745494668	0.041191614564178004	0.0	0.0	0.0	0.0	1.0	0.003677822728944465	0	0.10886355277675616	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
134751	DW	DW_R1_NoIll_No4N_ITS.fastq.gz	70d3872331f53e3e7c73917899d4633e1464d9f50b941baf4a23449fc030cc24	DW_R2_NoIll_No4N_ITS.fastq.gz	e0ac782d22fea1b826ad7d49617607606ef4ec23a8190e9a1d2f0b80e295effc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	coral_aquarium	Cnidaria	Anthozoa	Scleractinia	Oculinidae	Oculina	arbuscula	34.71336600	-76.68021000	Summer 2018	3
