"","OC4_F_B","OC5_H_B","OC9_C_B","OD4_C_B","OD5_F_B","OD6_H_B","OF7_C_B","OF8_F_B","OF9_H_B","OI1_C_B","OI2_F_B","OI3_H_B","OJ13_C_B","OJ14_F_B","OJ15_H_B","OM1_C_B","OM2_F_B","OM3_H_B","OR7_C_B","OR8_F_B","OR9_H_B"
"Sym_118404_c0_g1",0,0,0,0,0.655697228378164,0,0,0,0,0,0.625490190149635,0,0,0,0,0,0,0,0,0,0
"Sym_118407_c3_g1",0,0,0,0,0,0,0,0,0,0,0.625490190149635,2.049385485081,0,0.624990561930655,0,0,0,0,0,0,0
"Sym_118478_c4_g1",0,0,0,0,0.655697228378164,0,0,0,0,0,0,0,0.619558548661802,0,0,0,0,0,0,0,0
"Sym_118501_c2_g1",0,1.64092068056195,2.12996535346157,3.48372718743772,1.31139445675633,3.79995735895933,2.31739518913706,0,0.982342985661104,3.88583688884745,2.50196076059854,2.049385485081,2.47823419464721,1.24998112386131,1.33364328761157,0,0,3.46594004054689,3.16414627319176,1.97855314217427,1.9432715206736
"Sym_118506_c0_g1",0,0,3.19494803019236,1.16124239581257,1.96709168513449,0,2.31739518913706,2.29293538912154,0,1.45718883331779,1.25098038029927,2.049385485081,3.09779274330901,1.87497168579196,0.666821643805785,1.2302493524606,3.15658659713994,1.54041779579862,2.1094308487945,2.9678297132614,0
"Sym_118506_c1_g1",1.5887474947617,0,4.25993070692314,0,0.655697228378164,0,0,4.58587077824307,0.982342985661104,0.485729611105931,1.25098038029927,0,0.619558548661802,0.624990561930655,2.66728657522314,0,0,1.15531334684896,0,0,0
"Sym_118506_c1_g2",0,2.46138102084293,2.12996535346157,1.16124239581257,1.31139445675633,0,1.15869759456853,2.29293538912154,0.982342985661104,0.485729611105931,0.625490190149635,0,0.619558548661802,1.87497168579196,2.66728657522314,1.84537402869091,3.15658659713994,1.54041779579862,3.16414627319176,8.90348913978421,0
"Sym_118506_c4_g1",3.1774949895234,0.820460340280975,1.06498267673079,2.32248479162515,2.62278891351266,2.53330490597289,1.15869759456853,4.58587077824307,1.96468597132221,2.91437766663559,5.00392152119708,0,5.57602693795622,1.24998112386131,3.33410821902892,1.2302493524606,6.31317319427989,1.54041779579862,4.21886169758901,4.94638285543567,5.8298145620208
"Sym_118532_c0_g1",0,0,1.06498267673079,0,1.31139445675633,0,2.31739518913706,4.58587077824307,0,0.485729611105931,1.8764705704489,0,0,1.24998112386131,0,1.2302493524606,0,0.385104448949654,0,3.95710628434854,5.8298145620208
"Sym_11853_c0_g1",1.5887474947617,0,1.06498267673079,0,0.655697228378164,0,0,0,0,0.971459222211863,0,0,0.619558548661802,0,0,0,0,0,1.05471542439725,0,0
"Sym_118541_c1_g1",9.53248496857019,14.7682861250576,13.8447747975002,11.6124239581257,5.24557782702531,16.4664818888238,16.2217663239594,16.0505477238508,15.7174877705777,10.6860514443305,13.1352939931423,2.049385485081,11.1520538759124,6.8748961812372,13.3364328761157,9.22687014345454,4.73487989570992,9.2425067747917,10.5471542439725,5.93565942652281,9.716357603368
"Sym_118556_c0_g1",0,0,0,1.16124239581257,0,0,0,0,0,0.485729611105931,0,0,0,0,0,0,0,0,0,0,0
