"","C4","C5","C9","D4","D5","D6","E10","E11","E3","F7","F8","F9","H1","I1","I2","I3","J13","J14","J15","K2","K3","L6","M2","M3","N4","O2","Q1","Q11","Q4","R7","R8"
"evm.TU.chromosome_14.931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.932",1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"evm.TU.chromosome_14.933",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0
"evm.TU.chromosome_14.934",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.936",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
"evm.TU.chromosome_14.937",0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0
"evm.TU.chromosome_14.938",7,5,8,10,14,15,4,6,21,5,13,30,5,28,6,13,13,13,7,7,6,18,14,16,24,20,9,19,43,8,13
"evm.TU.chromosome_14.939",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,2,0,1
"evm.TU.chromosome_14.94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,3,0,0
"evm.TU.chromosome_14.940",0,0,0,1,0,2,0,1,0,0,0,0,0,2,2,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"evm.TU.chromosome_14.941",9,9,13,11,12,9,7,4,10,6,6,8,7,36,4,7,22,16,2,5,2,6,4,10,15,7,5,5,19,8,7
"evm.TU.chromosome_14.942",0,3,3,4,6,7,2,7,9,4,2,13,12,7,0,1,18,6,2,3,4,3,1,3,5,1,6,12,4,6,1
"evm.TU.chromosome_14.943",12,7,19,24,16,14,27,16,28,4,14,31,18,28,26,10,27,26,8,15,17,22,8,11,12,12,17,17,43,10,12
"evm.TU.chromosome_14.944",6,2,2,1,9,5,4,5,2,1,13,5,5,12,16,2,9,21,2,14,1,3,5,4,5,18,3,11,17,9,20
"evm.TU.chromosome_14.945",2,1,2,0,0,1,0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,3,4,3,4
"evm.TU.chromosome_14.946",1,1,4,3,6,1,2,3,4,1,3,5,3,9,2,1,11,11,1,4,2,9,1,1,3,1,5,0,4,2,3
"evm.TU.chromosome_14.947",7,0,2,2,3,3,2,3,2,0,5,9,2,3,1,0,0,6,4,2,0,4,2,2,3,4,4,6,7,2,4
"evm.TU.chromosome_14.948",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.949",0,1,1,0,0,1,0,0,0,2,0,19,5,0,1,0,0,0,1,0,4,4,0,0,7,0,0,0,0,8,0
"evm.TU.chromosome_14.95",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"evm.TU.chromosome_14.950",0,0,0,0,2,0,0,0,0,0,0,1,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"evm.TU.chromosome_14.951",4,13,10,0,10,21,6,10,26,9,3,19,5,35,3,17,39,8,8,3,0,8,3,11,16,6,9,21,26,9,14
"evm.TU.chromosome_14.952",1,1,3,2,9,3,12,5,3,1,3,5,3,11,7,4,8,12,1,4,2,4,1,5,5,7,6,1,13,5,6
"evm.TU.chromosome_14.953",0,1,2,1,16,0,2,2,2,0,0,2,3,7,1,5,4,21,27,1,0,2,0,0,6,0,2,1,0,0,0
